text,label
Bank Security Alert. Pay outstanding balance immediately today only or your account will be suspended. Update your password.,1
This is IT support. Pay a small fee to release your parcel within 30 minutes to avoid legal action. Verify your account.,1
Official Support: DM me privately for the verification steps urgently to avoid termination. Ref: 558339,1
Don’t forget to submit your assignment by Monday.,0
I’ll call you in 10 minutes.,0
Receipt: payment of BND 20 received. Ref 970914.,0
"Hi Haziq, are you free this afternoon?",0
Free gift waiting for you. Install AnyDesk so we can fix it within 30 minutes. Link: https://xn--login-update.xyz/login/517196,1
Can we reschedule to tomorrow?,0
IT Helpdesk here. Install TeamViewer for verification with your verification code immediately to avoid termination.,1
"I’m on my way, arriving in 5 mins.",0
Admin Team: Share your username and password with your verification code urgently or your account will be suspended.,1
Can we reschedule to next week?,0
Can you send me the minutes later?,0
Bank Security Alert. Pay a small fee to release your parcel within 24 hours or your account will be locked. Send your OTP code.,1
Don’t forget to submit the slides by Monday.,0
Service Provider Notice: Security verification required asap. http://111.81.5.100/verify/806004,1
Service Provider Notice: Update your password and your login details now to prevent permanent loss.,1
Are we still on for class?,0
Bank Security Alert. Contact me on Telegram now now or your account will be deleted. Ref: 806423,1
Official Support: Security verification required asap. https://login.account-security.secure.verify.info/auth/712546,1
Bank Security Alert. Send your OTP code with your verification code urgently or your account will be deleted.,1
"I’m on my way, arriving in 10 mins.",0
See you today.,0
I’ll call you in 20 minutes.,0
Bank Security Alert. Send money via gift card within 24 hours to prevent permanent loss. Reply with your verification code.,1
Account Center: Install TeamViewer for verification with your OTP within 30 minutes to avoid termination.,1
Your order #827691 has been shipped.,0
Official Support: Security verification required immediately. https://xn--account-security.xyz/login/393964,1
"Hi Aisyah, are you free tomorrow morning?",0
Service Provider Notice: Provide your PIN with your OTP now or your account will be suspended.,1
Here is the code for the classroom door: 891844 (normal).,0
Account Center: Message me on WhatsApp to complete verification today only or your account will be suspended. Ref: 887931,1
Class starts at 2pm.,0
Please review the report when you can.,0
Your order #171603 has been shipped.,0
Official Support: Install TeamViewer for verification within 30 minutes or your account will be deleted.,1
This is IT support. Contact me on Telegram now within 24 hours or your account will be deleted. Ref: 627262,1
Security Team notice. Confirm your login details with your OTP now to prevent permanent loss.,1
Claim your bonus now. Share your username and password within 30 minutes. Link: http://156.73.77.176/verify/213355,1
Let’s meet at campus this afternoon.,0
Can we reschedule to today?,0
This is IT support. Message me on WhatsApp to complete verification immediately to prevent permanent loss. Ref: 630126,1
IT Helpdesk here. Send your OTP code and your login details urgently to prevent permanent loss.,1
Admin Team: DM me privately for the verification steps now to prevent permanent loss. Ref: 657783,1
Let’s meet at lab tomorrow morning.,0
Congratulations! You won a prize. Verify your account urgently. Link: https://xn--security-alert.click/login/556526,1
Receipt: payment of BND 5 received. Ref 685196.,0
Official Support: Wire transfer required to avoid cancellation within 30 minutes or your account will be locked. Reset your account now.,1
This is IT support. Message me on WhatsApp to complete verification urgently or your account will be suspended. Ref: 977633,1
Your order #173201 has been shipped.,0
Don’t forget to submit the draft by Friday.,0
Admin Team: Security verification required asap. https://cutt.ly/834018,1
"I’m on my way, arriving in 15 mins.",0
Account Center: Security verification required within 24 hours. http://139.179.126.49/verify/694229,1
Here is the code for the classroom door: 524850 (normal).,0
I’ll call you in 15 minutes.,0
See you Friday.,0
IT Helpdesk here. Install TeamViewer for verification and your password immediately to avoid legal action.,1
Your parcel is delivered. Thank you.,0
Please WhatsApp me when you arrive (normal).,0
Your parcel is delivered. Thank you.,0
You are selected for a reward. Reply with your verification code asap. Link: https://xn--security-alert.xyz/login/886553,1
This is IT support. Security verification required immediately. https://login.confirm-access.secure.verify.info/auth/969948,1
Let’s meet at cafe 3pm.,0
Receipt: payment of $10 received. Ref 346205.,0
Can you send me the proposal later?,0
IT Helpdesk here. Reset your account now and your password within 30 minutes to prevent permanent loss.,1
Admin Team: Security verification required asap. https://xn--support-check.com/login/651273,1
You are selected for a reward. Confirm your login details now. Link: https://login.it-helpdesk.secure.verify.com/auth/669578,1
Class starts at 9am.,0
Let’s meet at office 2pm.,0
IT Helpdesk here. Verify your account and your login details immediately to avoid legal action.,1
Service Provider Notice: DM me privately for the verification steps within 24 hours or your account will be deleted. Ref: 704570,1
Can we reschedule to Friday?,0
Service Provider Notice: Provide your PIN with your verification code within 30 minutes to avoid legal action.,1
Please review the form when you can.,0
IT Helpdesk here. Send money via gift card immediately or your account will be suspended. Install TeamViewer for verification.,1
Happy birthday Aisyah!,0
Security Team notice. Reset your account now with your OTP within 30 minutes to prevent permanent loss.,1
"Hi Aisyah, are you free 9am?",0
Are we still on for consultation?,0
Class starts at 5pm.,0
Thanks for your help with the project.,0
Account Center: DM me privately for the verification steps within 30 minutes or your account will be suspended. Ref: 706658,1
Bank Security Alert. Click the link to continue and your password today only or your account will be suspended.,1
You are selected for a reward. Confirm your login details today only. Link: http://140.229.139.121/verify/785672,1
Congratulations! You won a prize. Confirm your login details within 24 hours. Link: http://107.114.98.32/verify/673867,1
See you tomorrow.,0
IT Helpdesk here. Update your password and your password now or your account will be locked.,1
Account Center: Install TeamViewer for verification and your password today only to avoid legal action.,1
Can we reschedule to Friday?,0
IT Helpdesk here. Reset your account now asap to prevent permanent loss.,1
Congratulations! You won a prize. Confirm your login details today only. Link: https://login.support-check.secure.verify.info/auth/662407,1
Reminder: presentation at 3pm.,0
